Datetime,trajectory,run,year,month,day,hour,minute,seconds,time,latitude,longitude,altitude,pressure,potential temperature,air temperature,rainfall,mix depth,relative humidity,terrain above msl,solar flux,AP_O3,AP_PM,AP_Pres,AP_ALD2,AP_CO,AP_ETH,AP_FORM,AP_H2O2,AP_HNO3,AP_HONO,AP_ISOP,AP_IOLE,AP_N2O5,AP_NH3,AP_NO,AP_NO2,AP_NOX,AP_ANO3_PPB,AP_PAN,AP_PANX,AP_SO2,AP_SULF,AP_TERP,AP_TOL,AP_VOC,AP_XLY,AP_ANO3,AP_XYL
2020-09-10 00:00:00,3,1,2020,9,10,0,0,0,-72.0,42.132,-122.278,368.7,860.5,309.7,296.6,0.0,781.1,12.9,1022.1,492.5,36.98896408081055,308.9377136230469,80464.703125,43.11830520629883,4137.0830078125,51.8435173034668,98.66275024414062,0.6686233282089233,0.02470962330698967,0.004249661695212126,1.853409767150879,2.60336971282959,0.005881454795598984,114.42156982421875,1.2827379703521729,15.816882133483887,17.099620819091797,,0.20406809449195862,0.15436603128910065,9.814034461975098,0.00013084251258987933,1.9645776748657227,9.381511688232422,974.2586059570312,,0.4069223999977112,1.8285499811172485
2020-09-09 23:00:00,1,1,2020,9,9,23,0,0,-73.0,44.619,-121.586,308.3,887.1,307.7,297.3,0.0,781.3,7.0,830.0,631.1,34.56900405883789,135.03851318359375,88704.34375,14.908849716186523,1497.828125,19.7684383392334,33.91619110107422,0.413230299949646,0.011022835038602352,0.010498198680579662,0.6592115759849548,0.7139216065406799,0.025353945791721344,36.91845703125,0.0001346427743555978,8.07345199584961,8.073587417602539,,0.19952669739723206,0.1471908986568451,3.7876639366149902,1.5354802599176764e-05,0.5433275699615479,3.585899829864502,363.1828918457031,,0.33614498376846313,0.7094798684120178
2020-09-09 23:00:00,2,1,2020,9,9,23,0,0,-73.0,43.351,-123.17,112.1,920.4,306.6,299.3,0.0,660.4,14.3,703.2,656.8,34.56900405883789,135.03851318359375,88704.34375,14.908849716186523,1497.828125,19.7684383392334,33.91619110107422,0.413230299949646,0.011022835038602352,0.010498198680579662,0.6592115759849548,0.7139216065406799,0.025353945791721344,36.91845703125,0.0001346427743555978,8.07345199584961,8.073587417602539,,0.19952669739723206,0.1471908986568451,3.7876639366149902,1.5354802599176764e-05,0.5433275699615479,3.585899829864502,363.1828918457031,,0.33614498376846313,0.7094798684120178
2020-09-09 23:00:00,3,1,2020,9,9,23,0,0,-73.0,41.993,-122.132,359.5,860.0,308.7,295.6,0.0,691.9,13.4,1044.2,657.9,34.56900405883789,135.03851318359375,88704.34375,14.908849716186523,1497.828125,19.7684383392334,33.91619110107422,0.413230299949646,0.011022835038602352,0.010498198680579662,0.6592115759849548,0.7139216065406799,0.025353945791721344,36.91845703125,0.0001346427743555978,8.07345199584961,8.073587417602539,,0.19952669739723206,0.1471908986568451,3.7876639366149902,1.5354802599176764e-05,0.5433275699615479,3.585899829864502,363.1828918457031,,0.33614498376846313,0.7094798684120178
2020-09-09 22:00:00,1,1,2020,9,9,22,0,0,-74.0,44.534,-121.393,335.5,880.1,306.7,295.7,0.0,661.7,7.5,876.9,753.0,43.340545654296875,2.7268078327178955,87964.4921875,2.899371385574341,328.61614990234375,3.9712986946105957,6.557143688201904,0.39497652649879456,0.00324163562618196,0.002573045203462243,0.10515560954809189,0.07777758687734604,0.018070969730615616,8.39828109741211,0.0001831214176490903,1.8706324100494385,1.8708155155181885,,0.1605571210384369,0.09583288431167603,0.7839987874031067,1.4249484593165107e-05,0.04481722414493561,0.7271474599838257,75.38289642333984,,0.20821307599544525,0.15103185176849365
2020-09-09 22:00:00,2,1,2020,9,9,22,0,0,-74.0,43.27,-123.06,117.3,915.5,305.9,298.2,0.0,634.1,13.8,744.7,777.2,43.340545654296875,2.7268078327178955,87964.4921875,2.899371385574341,328.61614990234375,3.9712986946105957,6.557143688201904,0.39497652649879456,0.00324163562618196,0.002573045203462243,0.10515560954809189,0.07777758687734604,0.018070969730615616,8.39828109741211,0.0001831214176490903,1.8706324100494385,1.8708155155181885,,0.1605571210384369,0.09583288431167603,0.7839987874031067,1.4249484593165107e-05,0.04481722414493561,0.7271474599838257,75.38289642333984,,0.20821307599544525,0.15103185176849365
2020-09-09 22:00:00,3,1,2020,9,9,22,0,0,-74.0,41.85,-121.994,353.6,858.9,307.7,294.5,0.0,601.5,14.5,1060.6,784.5,43.340545654296875,2.7268078327178955,87964.4921875,2.899371385574341,328.61614990234375,3.9712986946105957,6.557143688201904,0.39497652649879456,0.00324163562618196,0.002573045203462243,0.10515560954809189,0.07777758687734604,0.018070969730615616,8.39828109741211,0.0001831214176490903,1.8706324100494385,1.8708155155181885,,0.1605571210384369,0.09583288431167603,0.7839987874031067,1.4249484593165107e-05,0.04481722414493561,0.7271474599838257,75.38289642333984,,0.20821307599544525,0.15103185176849365
2020-09-09 21:00:00,1,1,2020,9,9,21,0,0,-75.0,44.425,-121.207,365.9,872.4,305.8,294.1,0.0,546.7,7.8,928.1,830.2,41.55010986328125,3.244229793548584,87667.890625,0.3612050414085388,69.05521392822266,0.43734976649284363,0.6647641062736511,0.3304981589317322,2.5751959158853976e-13,0.0019931611604988575,0.004408136010169983,0.006350004579871893,0.004090698901563883,11.725192070007324,0.011055411770939827,0.9053803086280823,0.916435718536377,,0.13884949684143066,0.08649527281522751,0.0870138481259346,2.8356618713587523e-05,0.04786602407693863,0.09843959659337997,15.13038158416748,,0.10115061700344086,0.049246929585933685
2020-09-09 21:00:00,2,1,2020,9,9,21,0,0,-75.0,43.171,-122.946,124.0,909.9,305.3,297.1,0.0,607.1,13.1,790.8,850.5,41.55010986328125,3.244229793548584,87667.890625,0.3612050414085388,69.05521392822266,0.43734976649284363,0.6647641062736511,0.3304981589317322,2.5751959158853976e-13,0.0019931611604988575,0.004408136010169983,0.006350004579871893,0.004090698901563883,11.725192070007324,0.011055411770939827,0.9053803086280823,0.916435718536377,,0.13884949684143066,0.08649527281522751,0.0870138481259346,2.8356618713587523e-05,0.04786602407693863,0.09843959659337997,15.13038158416748,,0.10115061700344086,0.049246929585933685
2020-09-09 21:00:00,3,1,2020,9,9,21,0,0,-75.0,41.704,-121.862,350.1,857.6,306.6,293.4,0.0,510.3,15.9,1076.5,863.6,41.55010986328125,3.244229793548584,87667.890625,0.3612050414085388,69.05521392822266,0.43734976649284363,0.6647641062736511,0.3304981589317322,2.5751959158853976e-13,0.0019931611604988575,0.004408136010169983,0.006350004579871893,0.004090698901563883,11.725192070007324,0.011055411770939827,0.9053803086280823,0.916435718536377,,0.13884949684143066,0.08649527281522751,0.0870138481259346,2.8356618713587523e-05,0.04786602407693863,0.09843959659337997,15.13038158416748,,0.10115061700344086,0.049246929585933685
